Spalte1;Spalte2;Spalte3;Spalte4;Spalte5;Spalte6;Spalte7;Spalte8;Spalte9;Spalte10;Spalte11;Spalte12;Spalte13;Spalte14;Spalte15;Spalte16;Spalte17;
;nn;Customer;DEMAND;PVC;CMC;FRC;CNC;CCx;CC;;PVC/DEMAND;CMC/DEMAND;FRC/DEMAND;CNC/DEMAND;CCx/DEMAND;CC/DEMAND;
108;54;2;1;30;5;33;12;12;9;; 30 ; 5 ; 33 ; 12 ; 12 ; 9 ;
109;55;1;2;14;1;2;49;1;5;; 7 ; 1 ; 1 ; 25 ; 1 ; 3 ;
110;55;2;1;25;3;3;2;50;46;; 25 ; 3 ; 3 ; 2 ; 50 ; 46 ;
111;56;1;2;42;29;24;27;24;30;; 21 ; 15 ; 12 ; 14 ; 12 ; 15 ;
112;56;2;1;3;13;7;24;27;21;; 3 ; 13 ; 7 ; 24 ; 27 ; 21 ;
113;57;1;2;9;47;2;3;24;32;; 5 ; 24 ; 1 ; 2 ; 12 ; 16 ;
114;57;2;1;39;1;2;48;27;19;; 39 ; 1 ; 2 ; 48 ; 27 ; 19 ;
115;58;1;2;17;13;16;17;9;21;; 9 ; 7 ; 8 ; 9 ; 5 ; 11 ;
116;58;2;1;21;33;33;34;42;30;; 21 ; 33 ; 33 ; 34 ; 42 ; 30 ;
117;59;1;1;3;30;15;33;34;22;; 3 ; 30 ; 15 ; 33 ; 34 ; 22 ;
118;59;2;2;28;21;21;18;17;29;; 14 ; 11 ; 11 ; 9 ; 9 ; 15 ;
119;60;1;2;18;37;7;43;47;44;; 9 ; 19 ; 4 ; 22 ; 24 ; 22 ;
120;60;2;1;26;8;3;8;4;7;; 26 ; 8 ; 3 ; 8 ; 4 ; 7 ;
121;61;1;1;11;24;15;7;7;6;; 11 ; 24 ; 15 ; 7 ; 7 ; 6 ;
122;61;2;2;21;22;14;44;44;45;; 11 ; 11 ; 7 ; 22 ; 22 ; 23 ;
123;62;1;1;13;6;27;24;39;26;; 13 ; 6 ; 27 ; 24 ; 39 ; 26 ;
124;62;2;2;19;41;21;27;12;25;; 10 ; 21 ; 11 ; 14 ; 6 ; 13 ;
125;63;1;1;4;1;48;49;26;18;; 4 ; 1 ; 48 ; 49 ; 26 ; 18 ;
126;63;2;2;11;2;2;2;25;33;; 6 ; 1 ; 1 ; 1 ; 13 ; 17 ;
127;64;1;1;30;16;47;50;1;2;; 30 ; 16 ; 47 ; 50 ; 1 ; 2 ;
128;64;2;2;13;29;2;1;50;49;; 7 ; 15 ; 1 ; 1 ; 25 ; 25 ;
129;65;1;2;22;7;9;6;28;36;; 11 ; 4 ; 5 ; 3 ; 14 ; 18 ;
130;65;2;1;4;28;36;45;23;15;; 4 ; 28 ; 36 ; 45 ; 23 ; 15 ;
131;66;1;2;4;45;23;1;25;34;; 2 ; 23 ; 12 ; 1 ; 13 ; 17 ;
132;66;2;1;39;2;1;50;25;17;; 39 ; 2 ; 1 ; 50 ; 25 ; 17 ;
133;67;1;2;24;14;18;14;7;21;; 12 ; 7 ; 9 ; 7 ; 4 ; 11 ;
134;67;2;1;8;19;24;37;44;30;; 8 ; 19 ; 24 ; 37 ; 44 ; 30 ;
135;68;1;1;17;1;25;13;38;26;; 17 ; 1 ; 25 ; 13 ; 38 ; 26 ;
136;68;2;2;17;25;1;38;13;25;; 9 ; 13 ; 1 ; 19 ; 7 ; 13 ;
137;69;1;2;33;6;23;19;16;28;; 17 ; 3 ; 12 ; 10 ; 8 ; 14 ;
138;69;2;1;9;27;15;32;35;23;; 9 ; 27 ; 15 ; 32 ; 35 ; 23 ;
139;70;1;1;18;23;3;35;8;7;; 18 ; 23 ; 3 ; 35 ; 8 ; 7 ;
140;70;2;2;15;23;25;16;43;44;; 8 ; 12 ; 13 ; 8 ; 22 ; 22 ;
141;71;1;1;26;38;3;30;25;17;; 26 ; 38 ; 3 ; 30 ; 25 ; 17 ;
142;71;2;2;20;11;30;21;25;34;; 10 ; 6 ; 15 ; 11 ; 13 ; 17 ;
143;72;1;2;23;23;33;42;46;44;; 12 ; 12 ; 17 ; 21 ; 23 ; 22 ;
144;72;2;1;14;15;12;9;5;7;; 14 ; 15 ; 12 ; 9 ; 5 ; 7 ;
145;73;1;1;23;14;19;38;13;8;; 23 ; 14 ; 19 ; 38 ; 13 ; 8 ;
146;73;2;2;18;23;19;13;38;43;; 9 ; 12 ; 10 ; 7 ; 19 ; 22 ;
147;74;1;2;21;11;25;11;20;31;; 11 ; 6 ; 13 ; 6 ; 10 ; 16 ;
148;74;2;1;15;25;11;40;31;20;; 15 ; 25 ; 11 ; 40 ; 31 ; 20 ;
149;75;1;1;16;18;10;41;30;21;; 16 ; 18 ; 10 ; 41 ; 30 ; 21 ;
150;75;2;2;20;29;10;10;21;30;; 10 ; 15 ; 5 ; 5 ; 11 ; 15 ;
151;76;1;2;18;13;11;40;11;19;; 9 ; 7 ; 6 ; 20 ; 6 ; 10 ;
152;76;2;1;20;28;20;11;40;32;; 20 ; 28 ; 20 ; 11 ; 40 ; 32 ;
